route_id,service_id,trip_id,trip_headsign,direction_id,block_id
G-26,15ETEB-UPCBus-Dimanche-31,7255157-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642492
G-26,15ETEB-UPCBus-Dimanche-31,7255158-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642491
G-26,15ETEB-UPCBus-Dimanche-31,7255159-15ETEB-UPCBus-Dimanche-31,"Espace Européen de l'Entreprise",0,642491
G-26,15ETEB-UPCBus-Dimanche-31,7255160-15ETEB-UPCBus-Dimanche-31,"Espace Européen de l'Entreprise",0,642492
G-26,15ETEB-UPCBus-Dimanche-31,7255161-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642492
G-26,15ETEB-UPCBus-Dimanche-31,7255162-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642491
G-26,15ETEB-UPCBus-Dimanche-31,7255163-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642492
G-26,15ETEB-UPCBus-Dimanche-31,7255164-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642491
G-26,15ETEB-UPCBus-Dimanche-31,7255165-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642492
G-26,15ETEB-UPCBus-Dimanche-31,7255166-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642491
G-26,15ETEB-UPCBus-Dimanche-31,7255167-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642492
G-26,15ETEB-UPCBus-Dimanche-31,7255168-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642491
G-26,15ETEB-UPCBus-Dimanche-31,7255169-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642492
G-26,15ETEB-UPCBus-Dimanche-31,7255170-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642491
G-26,15ETEB-UPCBus-Dimanche-31,7255171-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642492
G-26,15ETEB-UPCBus-Dimanche-31,7255172-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642491
G-26,15ETEB-UPCBus-Dimanche-31,7255173-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642492
G-26,15ETEB-UPCBus-Dimanche-31,7255174-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642491
G-26,15ETEB-UPCBus-Dimanche-31,7255175-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642492
G-26,15ETEB-UPCBus-Dimanche-31,7255176-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642491
G-26,15ETEB-UPCBus-Dimanche-31,7255177-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642492
G-26,15ETEB-UPCBus-Dimanche-31,7255178-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642491
G-26,15ETEB-UPCBus-Dimanche-31,7255179-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642492
G-26,15ETEB-UPCBus-Dimanche-31,7255180-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642493
G-26,15ETEB-UPCBus-Dimanche-31,7255181-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642491
G-26,15ETEB-UPCBus-Dimanche-31,7255182-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642492
G-26,15ETEB-UPCBus-Dimanche-31,7255183-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642491
G-26,15ETEB-UPCBus-Dimanche-31,7255184-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642492
G-26,15ETEB-UPCBus-Dimanche-31,7255185-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642493
G-26,15ETEB-UPCBus-Dimanche-31,7255186-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642492
G-26,15ETEB-UPCBus-Dimanche-31,7255187-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642493
G-26,15ETEB-UPCBus-Dimanche-31,7255188-15ETEB-UPCBus-Dimanche-31,"Gare Centrale",1,642491
