service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
15ETEB-UPCBus-Dimanche-31,0,0,0,0,0,0,1,20150712,20150830
15ETEW-A-D-Dimanche-00,0,0,0,0,0,0,1,20150712,20150830
15ETEB-UPEBus-Dimanche-01,0,0,0,0,0,0,1,20150712,20150830
15ETEW-B-F-Dimanche-00,0,0,0,0,0,0,1,20150628,20150830
15ETEB-UPK-Dimanche-00,0,0,0,0,0,0,1,20150712,20150830
15ETEW-C-E-Dimanche-03,0,0,0,0,0,0,1,20150712,20150830
15ETEB-21-Dimanche-01,0,0,0,0,0,0,1,20150714,20150815
15ETEB-31-Dimanche-00,0,0,0,0,0,0,1,20150712,20150830
15ETEB-71-72-Dimanche-00,0,0,0,0,0,0,1,20150712,20150830
15ETEB-89-Dimanche-10,0,0,0,0,0,0,1,20150712,20150830
14SEPB-NAV_ROST-Semaine-00,1,1,1,1,1,0,0,20150526,20150704
15ETEB-NAV_ROST-Dimanche-00,0,0,0,0,0,0,1,20150712,20150830
15ETEB-NHC-Dimanche-00,0,0,0,0,0,0,1,20150712,20150830
14SEPB-NUIT-Semaine-00,1,1,1,1,1,0,0,20150528,20150704
14PVSB-UPCBus-Semaine-05,1,1,1,1,1,0,0,20150622,20150703
14PVSB-UPEBus-Semaine-01,1,1,1,1,1,0,0,20150622,20150703
14PVSB-UPK-Semaine-01,1,1,1,1,1,0,0,20150622,20150703
14SEPB-12-Semaine-00,1,1,1,1,1,0,0,20150526,20150703
14SEPB-21-Dimanche-00,0,0,0,0,0,0,1,20150531,20150705
14SEPB-21-Samedi-01,0,0,0,0,0,1,0,20150530,20150704
14SEPB-21-Semaine-00,1,1,1,1,1,0,0,20150526,20150703
14SEPB-27-Samedi-00,0,0,0,0,0,1,0,20150530,20150704
14SEPB-27-Semaine-00,1,1,1,1,1,0,0,20150526,20150703
14SEPB-31-Dimanche-00,0,0,0,0,0,0,1,20150531,20150705
14SEPB-31-Samedi-00,0,0,0,0,0,1,0,20150530,20150704
14SEPB-31-Semaine-00,1,1,1,1,1,0,0,20150526,20150703
14SEPB-71-72-Dimanche-00,0,0,0,0,0,0,1,20150531,20150705
14SEPB-71-72-Samedi-02,0,0,0,0,0,1,0,20150530,20150704
14SEPB-71-72-Semaine-04,1,1,1,1,1,0,0,20150526,20150703
14SEPB-87-Semaine-11,1,1,1,1,1,0,0,20150526,20150527
14SEPB-87-Semaine-13,1,1,1,1,1,0,0,20150528,20150529
14SEPB-88-Semaine-20,1,1,1,1,1,0,0,20150608,20150612
14SEPB-88-Semaine-30,1,1,1,1,1,0,0,20150615,20150619
14SEPB-89-Semaine-20,1,1,1,1,1,0,0,20150608,20150612
14SEPB-NAV_NDF-Mardi-01,0,1,0,0,0,0,0,20150526,20150630
14SEPB-NAV_NDF-Samedi-00,0,0,0,0,0,1,0,20150530,20150704
14SEPB-NAV_ROST-Dimanche-00,0,0,0,0,0,0,1,20150531,20150705
14SEPB-NHC-Dimanche-01,0,0,0,0,0,0,1,20150531,20150705
14SEPB-NHC-Samedi-01,0,0,0,0,0,1,0,20150530,20150704
14SEPB-NHC-Semaine-01,1,1,1,1,1,0,0,20150526,20150703
14SEPB-UPCBus-Dimanche-05,0,0,0,0,0,0,1,20150531,20150705
14SEPB-UPCBus-Samedi-05,0,0,0,0,0,1,0,20150530,20150704
14SEPB-UPCBus-Semaine-06,1,1,1,1,1,0,0,20150526,20150619
14SEPB-UPEBus-Dimanche-00,0,0,0,0,0,0,1,20150531,20150705
14SEPB-UPEBus-Samedi-00,0,0,0,0,0,1,0,20150530,20150704
14SEPB-UPEBus-Semaine-02,1,1,1,1,1,0,0,20150526,20150619
14SEPB-UPK-Dimanche-01,0,0,0,0,0,0,1,20150531,20150705
14SEPB-UPK-Samedi-01,0,0,0,0,0,1,0,20150530,20150704
14SEPB-UPK-Semaine-01,1,1,1,1,1,0,0,20150526,20150619
14SEPW-A-D-Dimanche-00,0,0,0,0,0,0,1,20150531,20150614
14SEPW-A-D-Samedi-00,0,0,0,0,0,1,0,20150530,20150620
14SEPW-A-D-Semaine-00,1,1,1,1,1,0,0,20150601,20150619
14SEPW-A-D-Semaine-12,1,1,1,1,1,0,0,20150526,20150527
